,AmazonReviewsClassification,MasakhaNEWSClassification,MassiveIntentClassification,MassiveScenarioClassification,MTOPDomainClassification,MTOPIntentClassification,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,OpusparcusPC,AlloprofReranking,SyntecReranking,AlloprofRetrieval,BSARDRetrieval,SyntecRetrieval,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,DiaBLaBitextMining_fr-en,FloresBitextMining_fra_Latn-eng_Latn,FloresBitextMining_eng_Latn-fra_Latn
MasakhaNEWSClusteringS2S,0.7411039161270428,0.7476871853371678,0.7739130434782608,0.8047486894850447,0.7919210607462226,0.7673758865248227,0.6641381436941104,0.5185938945420907,0.7044711686709837,0.7471477027443725,1.0,0.6791859389454209,0.8802343509096515,,0.752832674571805,0.7025543596977212,0.6939467763637325,0.22514424421772405,0.7135365917189905,0.6761023743447425,0.57631822386679,0.6578062848111954,0.15522664199814987,0.5516667183232836,0.6287054681383671,0.6415448564414236
MLSUMClusteringP2P,0.604563675609004,0.6519674367895076,0.48800493370336107,0.47160037002775207,0.5199506629663891,0.5569534381745298,0.8121492445266728,0.30434782608695654,0.5164970706136294,0.6513105149552884,0.6791859389454209,1.0,0.6826395312981807,,0.5088274044795784,0.4950642120149745,0.4581701565593822,0.18437505138008972,0.45964959864301597,0.3639222941720629,0.44705519580635217,0.3010268588189991,0.26463151403021895,0.3195904901454729,0.43176907149818694,0.4103112029610881
MLSUMClusteringS2S,0.7962380511871724,0.637350439105361,0.8101757631822387,0.8215232809127351,0.8126426148627813,0.7848905334566759,0.6125809435707678,0.6028368794326241,0.7666358310206599,0.6175146469318532,0.8802343509096515,0.6826395312981807,1.0,,0.7748353096179184,0.7057626521983167,0.6880261497612691,0.2679928549280662,0.6875000641180036,0.7133518347209374,0.5211840888066605,0.6827222550965623,0.11501695960530373,0.6846341241036077,0.7546329369048168,0.7646877718228612
OpusparcusPC,,,,,,,,,,,,,,,,,,,,,,,,,,
AlloprofReranking,0.8595520421607378,0.8003162281021552,0.8990777338603425,0.8865612648221344,0.8822134387351779,0.807905138339921,0.5920948616600791,0.3976284584980237,0.635441370223979,0.8011857707509882,0.752832674571805,0.5088274044795784,0.7748353096179184,,1.0,0.9204508987188864,0.9004249156701347,0.41174096035965213,0.8948791567238321,0.8312252964426877,0.7351778656126482,0.812674989735644,0.11897233201581027,0.7197206763020356,0.7610112708914755,0.7617300386255176
SyntecReranking,0.856675795591715,0.8488308103127057,0.8817251562694418,0.8549482534760097,0.888882116463078,0.815955160007233,0.6747285920483251,0.3267522515991158,0.6262340169431694,0.8153381806801955,0.7025543596977212,0.4950642120149745,0.7057626521983167,,0.9204508987188864,1.0,0.9061854808656661,0.3949133466980194,0.9662983766434171,0.8838228859813696,0.8529739196294893,0.839919857767026,0.25240624269108436,0.6883850623012349,0.7323356369310565,0.7264108689078868
AlloprofRetrieval,0.7791791301616953,0.8479662014085485,0.8756360052268284,0.8578124522256625,0.8901908789578843,0.7852231031517101,0.5594992139327924,0.2960313301231706,0.5557371491124772,0.7955225265122453,0.6939467763637325,0.4581701565593822,0.6880261497612691,,0.9004249156701347,0.9061854808656661,1.0,0.4724835153033874,0.9403671896148714,0.8114958837001415,0.8159980268457646,0.7697051930430492,0.040334268729281995,0.6289934624398668,0.6540105291137699,0.6417504748861685
BSARDRetrieval,0.4252094486373361,0.3490801745215216,0.3703884319932219,0.33037539110929953,0.36049544393215766,0.35791192475697525,0.13289370586486987,-0.005671139652839397,0.10611332417090605,0.3142441494301119,0.22514424421772405,0.18437505138008972,0.2679928549280662,,0.41174096035965213,0.3949133466980194,0.4724835153033874,1.0,0.4130057931027335,0.3214906056531845,0.3528078990694198,0.21853465338385536,0.20724864797987527,0.3640353784886195,0.3170957885009219,0.30733817974856903
SyntecRetrieval,0.8168189310650857,0.8657370865375862,0.8712365077098024,0.8553184410722323,0.888882116463078,0.7927567373106191,0.6746051961829177,0.3147828526545862,0.6021718231887028,0.7934971125030642,0.7135365917189905,0.45964959864301597,0.6875000641180036,,0.8948791567238321,0.9662983766434171,0.9403671896148714,0.4130057931027335,1.0,0.8790104472304763,0.8753085712682507,0.8378220633672553,0.19749508258473747,0.6625945311511124,0.703621467003012,0.6926992571790102
SICKFr,0.856059204440333,0.7608856558198993,0.9025593586185631,0.8887449892075239,0.8812210915818687,0.8230033919210608,0.5877890841813136,0.41214924452667284,0.5729879740980574,0.732099907493062,0.6761023743447425,0.3639222941720629,0.7133518347209374,,0.8312252964426877,0.8838228859813696,0.8114958837001415,0.3214906056531845,0.8790104472304763,1.0,0.7880974406413814,0.9584014312737649,0.251063829787234,0.7714083077459621,0.7697293231456886,0.7906419375898744
STS22,0.7415972864631514,0.8744911821245321,0.7751464693185323,0.7692260252852298,0.8143694110391613,0.7615787850755473,0.6584643848288622,0.02263336416897934,0.354918285538082,0.8143694110391613,0.57631822386679,0.44705519580635217,0.5211840888066605,,0.7351778656126482,0.8529739196294893,0.8159980268457646,0.3528078990694198,0.8753085712682507,0.7880974406413814,1.0,0.7460606251041656,0.12784458834412582,0.5951463199351242,0.6311283449424577,0.5957688934299132
STSBenchmarkMultilingualSTS,0.8188966669532207,0.6855089897483589,0.8776095474276495,0.8739708289948855,0.8605877459455672,0.7933639647300973,0.5445743010390826,0.41641740437325997,0.615190107912214,0.6708193286978598,0.6578062848111954,0.3010268588189991,0.6827222550965623,,0.812674989735644,0.839919857767026,0.7697051930430492,0.21853465338385536,0.8378220633672553,0.9584014312737649,0.7460606251041656,1.0,0.1638040026681544,0.7548723325521155,0.7392487209959863,0.7617999363079248
SummEvalFr,0.29990749306197967,0.21660293614650938,0.09552883132901634,0.02053654024051804,0.07012025901942645,0.13080481036077707,0.3551649707061363,0.0030218933086648167,0.09774899784150477,0.23379586802343508,0.15522664199814987,0.26463151403021895,0.11501695960530373,,0.11897233201581027,0.25240624269108436,0.040334268729281995,0.20724864797987527,0.19749508258473747,0.251063829787234,0.12784458834412582,0.1638040026681544,1.0,0.11187517350904823,0.1568036167570394,0.1974127119319124
DiaBLaBitextMining_fr-en,0.7420518675087476,0.5090202611357422,0.8245706007805815,0.8012581335333818,0.799777976882766,0.7887384751969228,0.4004440471853639,0.36522865353946177,0.5133676649885984,0.5043633786973519,0.5516667183232836,0.3195904901454729,0.6846341241036077,,0.7197206763020356,0.6883850623012349,0.6289934624398668,0.3640353784886195,0.6625945311511124,0.7714083077459621,0.5951463199351242,0.7548723325521155,0.11187517350904823,1.0,0.9255674800738048,0.9207508743926649
FloresBitextMining_fra_Latn-eng_Latn,0.7427670530693989,0.6076514907416821,0.8362652476887905,0.8186217345513107,0.8271949909350157,0.8235296132057505,0.47817648105345967,0.37641565528165677,0.5401772772196741,0.5765825543272911,0.6287054681383671,0.43176907149818694,0.7546329369048168,,0.7610112708914755,0.7323356369310565,0.6540105291137699,0.3170957885009219,0.703621467003012,0.7697293231456886,0.6311283449424577,0.7392487209959863,0.1568036167570394,0.9255674800738048,1.0,0.9755751426468102
FloresBitextMining_eng_Latn-fra_Latn,0.7503169688206008,0.5962392672245183,0.8551866648672679,0.8256397983496895,0.8240292773235741,0.8340021190622117,0.44741512967813096,0.41433750552637655,0.5644256765370523,0.5649212214681648,0.6415448564414236,0.4103112029610881,0.7646877718228612,,0.7617300386255176,0.7264108689078868,0.6417504748861685,0.30733817974856903,0.6926992571790102,0.7906419375898744,0.5957688934299132,0.7617999363079248,0.1974127119319124,0.9207508743926649,0.9755751426468102,1.0
