Dataset & Language & Glove & Komninos & LASER2 & LaBSE & paraphrase-multilingual-MiniLM-L12-v2 & paraphrase-multilingual-mpnet-base-v2 & SGPT-bloom-7b1-msmarco & SGPT-bloom-1b3-nli \\
BUCC & de-en & 0.18 & 0.18 & 99.21 & 99.35 & 97.11 & 98.59 & 54.0 &  \\
BUCC & fr-en & 0.19 & 0.08 & 98.39 & 98.72 & 94.99 & 96.89 & 97.06 &  \\
BUCC & ru-en & 0.1 & 0.15 & 97.62 & 97.78 & 95.06 & 96.44 & 45.3 &  \\
BUCC & zh-en &  & 0.05 & 97.7 & 99.16 & 95.63 & 97.56 & 97.96 &  \\
Tatoeba & por-eng &  & 5.87 & 94.54 & 94.14 & 92.13 & 93.02 &  &  \\
Tatoeba & tat-eng &  & 0.77 & 34.74 & 85.92 & 10.25 & 10.89 &  &  \\
Tatoeba & oci-eng &  & 5.8 & 58.13 & 65.81 & 38.57 & 43.49 &  &  \\
Tatoeba & pol-eng &  & 5.13 & 97.32 & 97.22 & 94.28 & 96.95 &  &  \\
Tatoeba & war-eng &  & 4.12 & 8.25 & 60.29 & 7.25 & 7.42 &  &  \\
Tatoeba & aze-eng &  & 3.22 & 82.41 & 94.93 & 62.1 & 76.36 &  &  \\
Tatoeba & vie-eng &  & 6.55 & 96.73 & 97.2 & 95.12 & 97.23 &  &  \\
Tatoeba & nno-eng &  & 4.49 & 72.75 & 94.48 & 76.34 & 81.41 &  &  \\
Tatoeba & cha-eng &  & 19.29 & 14.86 & 31.77 & 15.98 & 12.59 &  &  \\
Tatoeba & mhr-eng &  & 0.2 & 6.86 & 15.74 & 6.89 & 7.57 &  &  \\
Tatoeba & dan-eng &  & 6.99 & 95.22 & 95.71 & 94.8 & 96.17 &  &  \\
Tatoeba & ell-eng &  & 0.63 & 96.2 & 95.35 & 95.43 & 94.93 &  &  \\
Tatoeba & amh-eng &  & 1.18 & 80.82 & 91.47 & 36.21 & 53.49 &  &  \\
Tatoeba & pam-eng &  & 6.65 & 3.24 & 10.73 & 5.41 & 5.39 &  &  \\
Tatoeba & hsb-eng &  & 6.32 & 45.75 & 67.11 & 36.1 & 44.32 &  &  \\
Tatoeba & srp-eng &  & 1.77 & 93.64 & 94.43 & 92.24 & 94.12 &  &  \\
Tatoeba & epo-eng &  & 2.45 & 96.61 & 98.2 & 41.73 & 55.12 &  &  \\
Tatoeba & kzj-eng &  & 4.61 & 4.46 & 11.33 & 6.24 & 5.88 &  &  \\
Tatoeba & awa-eng &  &  & 33.74 & 71.7 & 33.43 & 42.83 &  &  \\
Tatoeba & fao-eng &  & 7.61 & 57.04 & 87.4 & 27.51 & 38.24 &  &  \\
Tatoeba & mal-eng &  & 0.29 & 98.16 & 98.45 & 32.2 & 88.46 &  &  \\
Tatoeba & ile-eng &  & 13.61 & 87.88 & 85.58 & 57.71 & 60.36 &  &  \\
Tatoeba & bos-eng &  & 9.31 & 95.86 & 94.92 & 93.27 & 94.02 &  &  \\
Tatoeba & cor-eng &  & 4.15 & 4.45 & 10.11 & 3.42 & 3.53 &  &  \\
